ProcName,Path,ProcessId,_time,app,app:able_to_transfer_file,app:category,app:default_ports,app:evasive,app:excessive_bandwidth,app:has_known_vulnerability,app:risk,app:subcategory,app:used_by_malware,application,bytes_in,bytes_out,dest_port,protocol,src_ip,threat:category,threat:cve,threat:severity,threat_id,threat_name,transport,type,url,DriveType,FileSystem,FreeSpaceKB,DriveName,TotalSpaceKB,UsedSpaceKB,EventCode,Logon_ID,User,Event_time,Network_transfer,Network_time,Traffic_type,Reg_time,Rdata,Revent_status,key_path,Rpid,Rprocess_image,registry_type,SEP_time,SEP_action,SEP_app,direction,SEP_local_port,SEP_packet_id,SEP_remote_host,SEP_tag,Serv_Desc,Serv_Name,StartMode,Serv_Started,Serv_time,Attack1,Attack2,Attack3,Attack4,Attack5
1,1,4664,125124,1,2,1,280,1,1,2,4,4,2,3,1308,1624,65000,2,10308,0,0,0,0,0,2,1,0,1,0,920966767,1,976743932,55777165,576,1,1,062700,691185,144101,1,135003,0,0,1,3556,1,1,135414,0,1,1,4487,25276413,10121,1,0,1,2,2,130600,1,0,0,0,0
1,1,5952,125124,1,1,2,253,1,1,2,4,1,2,5,0,153,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920261888,1,976743932,56482044,528,1,1,062700,345592,144101,1,135003,0,0,1,6704,1,1,135414,0,1,2,4487,25276412,10121,1,0,1,2,1,130600,1,0,0,0,0
1,1,5604,125119,1,1,2,253,1,1,2,4,1,2,5,0,153,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920845613,1,976743932,55898319,552,1,10,062700,345592,144101,1,135003,0,0,1,6704,1,1,135414,0,1,1,4487,25276411,10121,1,0,1,1,1,130600,1,0,0,0,0
1,1,5556,125116,1,1,2,2137,1,1,2,2,1,1,0,0,92,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920887096,1,976743932,55856836,680,0,1,062700,1128,144101,1,135003,0,0,1,6704,1,1,135414,0,1,1,4487,25276410,10121,1,0,1,2,2,130600,1,0,0,0,0
1,1,5524,125116,1,1,2,253,1,1,2,4,1,2,5,0,85,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920778641,1,976743932,55965291,538,1,1,062642,182,144101,1,135003,0,0,1,6704,1,1,135414,0,1,2,4487,25276409,10121,1,0,1,2,2,130600,1,0,0,0,0
1,1,5496,125116,1,1,2,253,1,1,2,4,1,2,5,0,85,65000,1,10290,0,0,0,0,0,1,1,0,1,0,920100924,1,976743932,56643008,538,1,1,062600,946,144101,1,135003,0,0,1,6704,1,1,135414,0,1,2,3212,25276408,10308,0,0,1,2,2,130600,1,0,0,0,0
1,1,5384,125116,1,2,2,2dy,2,2,2,5,5,2,5,66,362,65000,2,10309,0,0,0,0,0,2,1,0,1,0,920933827,1,976743932,55810105,576,1,1,062600,21655,143757,1,135003,0,0,1,6704,1,1,135414,0,1,1,3212,25276407,10308,0,0,1,2,2,130600,1,0,0,0,0
1,1,5352,125116,1,2,2,2443,1,1,2,4,3,2,4,66,362,65000,2,10309,0,0,0,0,0,2,1,0,1,0,920186441,1,976743932,56557491,528,1,1,062600,10827,143757,1,135003,0,0,1,6704,1,1,135414,0,1,2,3212,25276406,10308,0,1,1,2,2,130600,1,0,0,0,0
1,1,5292,125116,1,1,2,253,1,1,2,4,1,2,5,0,81,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920415355,1,976743932,56328577,552,1,10,062600,10827,143757,1,135002,0x4a49ffff(1246363647),0,1,1752,1,2,135414,0,1,1,3212,25276405,10308,0,0,1,2,2,130600,1,0,0,0,0
1,1,5132,125116,1,1,2,253,1,1,2,4,1,2,5,0,81,65000,1,10290,0,0,0,0,0,1,1,0,1,0,920539473,1,976743932,56204459,680,0,1,062600,10693,143757,1,135002,0,0,1,1752,1,1,135414,0,1,2,3212,25276404,10308,0,0,1,3,1,130600,1,0,0,0,0
1,1,4492,125111,1,1,2,253,1,1,2,4,1,2,5,0,153,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920007865,1,976743932,56736067,538,1,1,062500,6946,143757,1,135002,0x4a49ffff(1246363647),0,1,3524,1,2,135413,1,0,1,0,25276403,0,0,0,1,2,2,130600,1,0,0,0,0
1,1,4416,125110,1,1,2,253,1,1,2,4,1,2,5,0,153,65000,1,10309,0,0,0,0,0,1,1,0,1,0,920368076,1,976743932,56375856,576,1,1,062500,3746,143757,1,135002,0,0,1,3524,1,1,135413,0,1,2,4487,25276402,10121,1,0,1,2,2,130600,1,0,0,0,0
